Marc Anthony	Puerto Rico	Puntilla es partner de Magnus Media
Gente de Zona	Cuba	
Fonseca	Colombia	
Leoni Torres	Cuba	
Los Van Van	Cuba	
Sandra Cires	Cuba/Estados Unidos	
Los 4	Cuba	
Diana Fuentes	Cuba	
Guaco	Venezuela	
Carlos Varela	Cuba	
La Melodía Perfecta	Venezuela	
Victor Drija	Venezuela	
Elito Revé y su Charangón	Cuba	
Vocal Sampling	Cuba	
Yulien Oviedo	Cuba/Estados Unidos	
Qva Libre	Cuba	
Omi Hernández	Cuba/Estados Unidos	
Beangel	Cuba/Estados Unidos	
Motiff	Cuba/Estados Unidos	
Nube Roja	Cuba	
Dayme Arocena	Cuba	
Rodney Barreto	Cuba
